Szene;Qualität;Gruppe;Proband;Altersgruppe;Alter;km/y;Verkehrsaufkommen;Tag;VT;VS;SA Level 3;SA gesamt;Speed;Spur;Rate
SA27;N;HMD;28;U35;24;3000;2;2;0,00;0,00;0,000;0,000;0;Korrekt;5
SA27;N;M Sphere;29;U35;22;3000;2;1;0,50;0,50;0,000;0,333;0;Korrekt;6
SA28;N;HMD;1;U35;23;15000;2;3;0,50;0,66;0,000;0,387;23;zu weit rechts;9
SA28;N;HMD;2;U22;19;3000;2;2;0,50;0,00;1,000;0,500;15;Korrekt;5
SA28;H;M Sphere;3;U22;18;8000;2;4;0,00;0,66;1,000;0,553;5;Korrekt;7
SA28;N;M Flat;4;U35;23;3000;2;3;1,00;0,00;1,000;0,667;8;zu weit rechts;8
SA28;N;M Flat;5;U22;19;8000;2;2;1,00;0,66;0,000;0,553;11;zu weit rechts;7
SA28;H;M Flat;6;U35;32;3000;2;4;1,00;0,00;1,000;0,667;8;Korrekt;4
SA28;N;HMD;7;U35;22;8000;2;1;0,00;0,33;0,000;0,110;13;zu weit rechts;6
SA28;N;M Sphere;8;U35;22;3000;2;3;0,50;0,66;0,000;0,387;18;Korrekt;8
SA28;N;HMD;9;Ü35;53;30000;2;1;0,50;0,33;0,000;0,277;18;zu weit links;7
SA28;N;M Flat;10;Ü35;49;15000;2;1;1,00;0,66;0,000;0,553;18;zu weit rechts;5
SA28;N;M Sphere;11;Ü35;54;8000;2;2;1,00;0,66;0,000;0,553;8;zu weit rechts;8
SA28;N;M Flat;12;U35;22;8000;2;1;1,00;0,33;1,000;0,777;8;Korrekt;4
SA28;H;M Sphere;13;U22;20;8000;2;4;1,00;0,33;0,000;0,443;28;zu weit rechts;9
SA28;H;M Flat;14;U35;23;15000;2;4;1,00;0,33;1,000;0,777;13;zu weit rechts;5
SA28;H;M Flat;15;Ü35;59;30000;2;4;1,00;0,66;1,000;0,887;8;Korrekt;6
SA28;H;HMD;16;U22;19;15000;2;4;1,00;0,00;1,000;0,667;18;zu weit rechts;7
SA28;N;M Flat;17;U35;27;8000;2;1;1,00;0,33;0,000;0,443;8;zu weit rechts;7
SA28;H;HMD;18;U22;21;3000;2;4;0,50;0,33;0,000;0,277;11;zu weit rechts;5
SA28;H;M Flat;19;U22;21;3000;2;1;1,00;0,00;1,000;0,667;13;Korrekt;5
SA28;H;M Flat;20;U22;19;15000;2;3;1,00;0,00;0,000;0,333;13;zu weit rechts;8
SA28;N;M Sphere;21;U22;21;15000;2;1;0,50;0,33;0,000;0,277;13;zu weit rechts;1
SA28;N;M Sphere;22;U35;28;8000;2;1;1,00;0,66;1,000;0,887;13;zu weit rechts;4
SA28;H;M Sphere;23;U35;22;3000;2;4;0,50;0,00;0,000;0,167;18;Korrekt;8
SA28;H;HMD;24;U35;26;8000;2;1;0,50;0,00;0,000;0,167;3;Korrekt;1
SA28;H;HMD;25;Ü35;50;15000;2;3;0,50;0,33;0,000;0,277;13;zu weit links;6
SA28;N;HMD;26;U35;24;3000;2;1;1,00;0,00;1,000;0,667;7;Korrekt;6
SA28;H;M Sphere;27;U22;19;3000;2;4;1,00;0,33;0,000;0,443;8;zu weit rechts;4
SA28;H;HMD;28;U35;24;3000;2;3;1,00;0,00;1,000;0,667;18;zu weit rechts;5
SA28;H;M Sphere;29;U35;22;3000;2;3;0,50;0,33;0,000;0,277;23;zu weit links;7
SA28;N;M Sphere;30;U22;21;15000;2;1;0,50;0,00;0,000;0,167;18;zu weit links;5
SA3;H;HMD;1;U35;23;15000;1;4;1,00;1,00;1,000;1,000;4;zu weit links;9
SA3;H;HMD;2;U22;19;3000;1;1;1,00;0,00;1,000;0,667;5;zu weit links;5
SA3;N;M Sphere;3;U22;18;8000;1;3;1,00;0,00;1,000;0,667;2;zu weit links;9
SA3;H;M Flat;4;U35;23;3000;1;4;1,00;1,00;1,000;1,000;2;zu weit links;8
SA3;H;M Flat;5;U22;19;8000;1;1;1,00;0,00;1,000;0,667;-3;zu weit links;7
SA3;N;M Flat;6;U35;32;3000;1;3;1,00;0,00;1,000;0,667;7;zu weit links;7
SA3;H;HMD;7;U35;22;8000;1;2;1,00;0,00;1,000;0,667;9;Korrekt;10
SA3;H;M Sphere;8;U35;22;3000;1;4;1,00;1,00;1,000;1,000;-6;zu weit links;7
SA3;H;HMD;9;Ü35;53;30000;1;3;1,00;0,00;1,000;0,667;-1;Korrekt;10
SA3;H;M Flat;10;Ü35;49;15000;1;2;1,00;0,00;1,000;0,667;7;zu weit links;9
SA3;H;M Sphere;11;Ü35;54;8000;1;1;1,00;0,00;1,000;0,667;7;zu weit links;10
SA3;H;M Flat;12;U35;22;8000;1;3;1,00;0,00;1,000;0,667;2;zu weit links;7
SA3;N;M Sphere;13;U22;20;8000;1;3;1,00;0,00;1,000;0,667;16;zu weit links;10
SA3;N;M Flat;14;U35;23;15000;1;4;1,00;1,00;1,000;1,000;-3;zu weit links;10
SA3;N;M Flat;15;Ü35;59;30000;1;3;1,00;0,00;1,000;0,667;-8;zu weit links;9
SA3;N;HMD;16;U22;19;15000;1;3;1,00;0,00;1,000;0,667;7;zu weit links;10
SA3;H;M Flat;17;U35;27;8000;1;1;1,00;0,00;1,000;0,667;-3;zu weit links;8
SA3;N;HMD;18;U22;21;3000;1;4;1,00;1,00;1,000;1,000;7;zu weit links;4
SA3;N;M Flat;19;U22;21;3000;1;2;1,00;0,00;1,000;0,667;7;zu weit links;6
SA3;N;M Flat;20;U22;19;15000;1;2;1,00;0,00;1,000;0,667;7;zu weit links;10
SA3;H;M Sphere;21;U22;21;15000;1;2;1,00;0,00;1,000;0,667;4;zu weit links;2
SA3;H;M Sphere;22;U35;28;8000;1;3;1,00;0,00;1,000;0,667;7;zu weit links;8
SA3;N;M Sphere;23;U35;22;3000;1;4;1,00;0,00;1,000;0,667;-3;zu weit links;9
SA3;N;HMD;24;U35;26;8000;1;2;1,00;0,00;1,000;0,667;2;zu weit links;5
SA3;N;HMD;25;Ü35;50;15000;1;2;1,00;0,00;1,000;0,667;7;zu weit links;7
SA3;H;HMD;26;U35;24;3000;1;1;1,00;0,00;1,000;0,667;-3;zu weit links;8
SA3;N;M Sphere;27;U22;19;3000;1;3;1,00;0,00;1,000;0,667;17;zu weit links;4
SA3;N;HMD;28;U35;24;3000;1;4;1,00;0,00;1,000;0,667;-3;zu weit links;8
SA3;N;M Sphere;29;U35;22;3000;1;2;1,00;0,00;1,000;0,667;2;zu weit links;8
SA3;H;M Sphere;30;U22;21;15000;1;1;1,00;1,00;1,000;1,000;17;zu weit links;8
SA4;N;HMD;1;U35;23;15000;3;1;0,50;0,00;0,000;0,167;0;zu weit links;5
SA4;N;HMD;2;U22;19;3000;3;4;0,25;0,00;1,000;0,417;0;zu weit links;5
SA4;H;M Sphere;3;U22;18;8000;3;4;0,25;1,00;0,000;0,417;0;zu weit links;5
SA4;N;M Flat;4;U35;23;3000;3;1;0,50;1,00;0,000;0,500;0;Korrekt;7
SA4;N;M Flat;5;U22;19;8000;3;4;0,25;0,00;0,000;0,083;0;zu weit links;7
SA4;H;M Flat;6;U35;32;3000;3;4;0,25;1,00;0,000;0,417;0;Korrekt;4
SA4;N;HMD;7;U35;22;8000;3;1;0,75;0,00;1,000;0,583;0;Korrekt;5
SA4;N;M Sphere;8;U35;22;3000;3;1;0,50;1,00;0,000;0,500;0;zu weit links;4
SA4;N;HMD;9;Ü35;53;30000;3;3;0,50;0,00;0,000;0,167;0;zu weit links;7
SA4;N;M Flat;10;Ü35;49;15000;3;1;0,50;1,00;0,000;0,500;0;zu weit links;4
SA4;N;M Sphere;11;Ü35;54;8000;3;4;0,50;0,00;0,000;0,167;0;zu weit links;8
SA4;N;M Flat;12;U35;22;8000;3;3;0,75;0,00;0,000;0,250;0;zu weit links;7
SA4;H;M Sphere;13;U22;20;8000;3;4;0,50;0,00;0,000;0,167;0;zu weit links;7
SA4;H;M Flat;14;U35;23;15000;3;3;0,50;0,00;0,000;0,167;0;zu weit links;7
SA4;H;M Flat;15;Ü35;59;30000;3;1;1,00;1,00;1,000;1,000;0;zu weit links;6
SA4;H;HMD;16;U22;19;15000;3;1;0,50;0,00;0,000;0,167;0;zu weit links;5
SA4;N;M Flat;17;U35;27;8000;3;2;0,75;1,00;0,000;0,583;0;zu weit links;9
SA4;H;HMD;18;U22;21;3000;3;3;0,75;1,00;0,000;0,583;0;Korrekt;8
SA4;H;M Flat;19;U22;21;3000;3;4;0,50;1,00;0,000;0,500;0;zu weit links;5
SA4;H;M Flat;20;U22;19;15000;3;1;0,50;0,00;1,000;0,500;0;zu weit links;6
SA4;N;M Sphere;21;U22;21;15000;3;1;0,75;0,00;0,000;0,250;0;zu weit links;1
SA4;N;M Sphere;22;U35;28;8000;3;3;0,50;0,00;0,000;0,167;0;zu weit links;1
SA4;H;M Sphere;23;U35;22;3000;3;3;0,75;0,00;1,000;0,583;0;zu weit links;6
SA4;H;HMD;24;U35;26;8000;3;4;0,75;0,00;1,000;0,583;0;zu weit links;5
SA4;H;HMD;25;Ü35;50;15000;3;1;0,50;0,00;0,000;0,167;0;zu weit links;3
SA4;N;HMD;26;U35;24;3000;3;2;0,50;0,00;0,000;0,167;0;Korrekt;3
SA4;H;M Sphere;27;U22;19;3000;3;4;0,50;0,00;0,000;0,167;0;zu weit links;4
SA4;H;HMD;28;U35;24;3000;3;1;0,25;0,00;0,000;0,083;0;zu weit links;6
SA4;H;M Sphere;29;U35;22;3000;3;1;0,50;0,00;0,000;0,167;0;Korrekt;5
SA4;N;M Sphere;30;U22;21;15000;3;2;0,50;0,00;0,000;0,167;0;zu weit links;4
SA5;H;HMD;1;U35;23;15000;2;2;0,66;1,00;1,000;0,887;0;Korrekt;7
SA5;H;HMD;2;U22;19;3000;2;3;1,00;1,00;0,500;0,833;0;zu weit links;6
SA5;N;M Sphere;3;U22;18;8000;2;1;0,33;1,00;0,500;0,610;0;Korrekt;4
SA5;H;M Flat;4;U35;23;3000;2;2;0,66;1,00;0,000;0,553;0;Korrekt;7
SA5;H;M Flat;5;U22;19;8000;2;3;1,00;1,00;1,000;1,000;0;Korrekt;8
SA5;N;M Flat;6;U35;32;3000;2;1;0,66;1,00;0,500;0,720;0;Korrekt;8
SA5;H;HMD;7;U35;22;8000;2;4;0,66;1,00;0,500;0,720;0;Korrekt;5
SA5;H;M Sphere;8;U35;22;3000;2;2;0,33;1,00;0,500;0,610;0;Korrekt;8
SA5;H;HMD;9;Ü35;53;30000;2;3;0,66;1,00;0,500;0,720;0;Korrekt;9
SA5;H;M Flat;10;Ü35;49;15000;2;4;0,66;1,00;0,500;0,720;0;zu weit links;8
SA5;H;M Sphere;11;Ü35;54;8000;2;3;0,33;1,00;1,000;0,777;0;Korrekt;8
SA5;H;M Flat;12;U35;22;8000;2;3;0,66;1,00;0,500;0,720;0;Korrekt;6
SA5;N;M Sphere;13;U22;20;8000;2;1;0,66;1,00;1,000;0,887;0;Korrekt;6
SA5;N;M Flat;14;U35;23;15000;2;1;0,66;1,00;0,500;0,720;0;Korrekt;5
SA5;N;M Flat;15;Ü35;59;30000;2;4;0,66;1,00;0,500;0,720;0;zu weit links;6
SA5;N;HMD;16;U22;19;15000;2;4;0,66;1,00;0,500;0,720;0;Korrekt;7
SA5;H;M Flat;17;U35;27;8000;2;4;0,66;1,00;0,500;0,720;0;Korrekt;5
SA5;N;HMD;18;U22;21;3000;2;1;0,33;1,00;1,000;0,777;0;Korrekt;8
SA5;N;M Flat;19;U22;21;3000;2;2;0,66;1,00;1,000;0,887;0;zu weit links;7
SA5;N;M Flat;20;U22;19;15000;2;3;1,00;1,00;0,500;0,833;0;Korrekt;10
SA5;H;M Sphere;21;U22;21;15000;2;4;0,33;1,00;1,000;0,777;0;Korrekt;1
SA5;H;M Sphere;22;U35;28;8000;2;3;0,66;1,00;0,500;0,720;0;Korrekt;4
SA5;N;M Sphere;23;U35;22;3000;2;1;1,00;1,00;0,500;0,833;0;Korrekt;1
SA5;N;HMD;24;U35;26;8000;2;2;0,66;1,00;0,500;0,720;0;Korrekt;8
SA5;N;HMD;25;Ü35;50;15000;2;3;0,66;1,00;1,000;0,887;0;Korrekt;7
SA5;H;HMD;26;U35;24;3000;2;4;0,33;1,00;0,500;0,610;0;Korrekt;4
SA5;N;M Sphere;27;U22;19;3000;2;1;0,66;1,00;0,500;0,720;0;Korrekt;2
SA5;N;HMD;28;U35;24;3000;2;2;0,66;1,00;1,000;0,887;0;Korrekt;7
SA5;N;M Sphere;29;U35;22;3000;2;3;1,00;1,00;0,500;0,833;0;zu weit links;7
SA6;N;HMD;1;U35;23;15000;1;2;1,00;1,00;0,000;0,667;0;zu weit rechts;7
SA6;N;HMD;2;U22;19;3000;1;1;1,00;0,00;1,000;0,667;0;Korrekt;3
SA6;H;M Sphere;3;U22;18;8000;1;4;1,00;0,00;1,000;0,667;0;Korrekt;7
SA6;N;M Flat;4;U35;23;3000;1;2;1,00;0,00;1,000;0,667;0;zu weit rechts;8
SA6;N;M Flat;5;U22;19;8000;1;1;1,00;0,00;1,000;0,667;0;Korrekt;6
SA6;H;M Flat;6;U35;32;3000;1;4;0,00;0,00;1,000;0,333;0;Korrekt;6
SA6;N;HMD;7;U35;22;8000;1;3;1,00;0,00;0,500;0,500;0;Korrekt;6
SA6;N;M Sphere;8;U35;22;3000;1;2;0,00;0,00;1,000;0,333;0;Korrekt;8
SA6;N;HMD;9;Ü35;53;30000;1;2;1,00;0,00;1,000;0,667;0;Korrekt;9
SA6;N;M Flat;10;Ü35;49;15000;1;3;1,00;0,00;1,000;0,667;0;Korrekt;4
SA6;N;M Sphere;11;Ü35;54;8000;1;1;0,00;0,00;1,000;0,333;0;zu weit links;6
SA6;N;M Flat;12;U35;22;8000;1;2;1,00;0,00;1,000;0,667;0;zu weit links;8
SA6;H;M Sphere;13;U22;20;8000;1;4;1,00;0,00;0,500;0,500;0;Korrekt;7
SA6;H;M Flat;14;U35;23;15000;1;3;1,00;0,00;1,000;0,667;0;Korrekt;9
SA6;H;M Flat;15;Ü35;59;30000;1;2;1,00;0,00;1,000;0,667;0;zu weit rechts;6
SA6;H;HMD;16;U22;19;15000;1;2;1,00;0,00;1,000;0,667;0;Korrekt;6
SA6;N;M Flat;17;U35;27;8000;1;1;1,00;0,00;1,000;0,667;0;Korrekt;4
SA6;H;HMD;18;U22;21;3000;1;3;1,00;1,00;1,000;1,000;0;Korrekt;7
SA6;H;M Flat;19;U22;21;3000;1;2;1,00;0,00;1,000;0,667;0;Korrekt;5
SA6;H;M Flat;20;U22;19;15000;1;4;1,00;0,00;1,000;0,667;0;Korrekt;9
SA6;N;M Sphere;21;U22;21;15000;1;3;1,00;0,00;1,000;0,667;0;Korrekt;1
SA6;N;M Sphere;22;U35;28;8000;1;2;1,00;0,00;1,000;0,667;0;Korrekt;7
SA6;H;M Sphere;23;U35;22;3000;1;3;1,00;0,00;1,000;0,667;0;Korrekt;6
SA6;H;HMD;24;U35;26;8000;1;2;1,00;0,00;1,000;0,667;0;zu weit rechts;10
SA6;H;HMD;25;Ü35;50;15000;1;4;1,00;0,00;0,500;0,500;0;Korrekt;7
SA6;N;HMD;26;U35;24;3000;1;1;1,00;0,00;1,000;0,667;0;zu weit links;6
SA6;H;M Sphere;27;U22;19;3000;1;4;1,00;0,00;0,000;0,333;0;Korrekt;3
SA6;H;HMD;28;U35;24;3000;1;2;1,00;0,00;1,000;0,667;0;Korrekt;5
SA6;H;M Sphere;29;U35;22;3000;1;4;1,00;0,00;1,000;0,667;0;Korrekt;6
SA6;N;M Sphere;30;U22;21;15000;1;1;1,00;0,00;1,000;0,667;0;zu weit rechts;7
SA7;H;HMD;1;U35;23;15000;1;4;0,50;1,00;0,000;0,500;19;Korrekt;9
SA7;H;HMD;2;U22;19;3000;1;1;1,00;1,00;1,000;1,000;34;zu weit rechts;6
SA7;N;M Sphere;3;U22;18;8000;1;1;0,00;1,00;0,000;0,333;-1;Korrekt;7
SA7;H;M Flat;4;U35;23;3000;1;4;1,00;1,00;1,000;1,000;14;Korrekt;8
SA7;H;M Flat;5;U22;19;8000;1;1;1,00;1,00;1,000;1,000;19;Korrekt;8
SA7;N;M Flat;6;U35;32;3000;1;1;0,50;1,00;1,000;0,833;-1;Korrekt;6
SA7;H;HMD;7;U35;22;8000;1;3;0,50;1,00;0,000;0,500;39;Korrekt;9
SA7;H;M Sphere;8;U35;22;3000;1;4;1,00;1,00;1,000;1,000;4;Korrekt;8
SA7;H;HMD;9;Ü35;53;30000;1;4;1,00;1,00;1,000;1,000;9;Korrekt;8
SA7;H;M Flat;10;Ü35;49;15000;1;3;1,00;1,00;1,000;1,000;4;Korrekt;8
SA7;H;M Sphere;11;Ü35;54;8000;1;1;0,00;1,00;1,000;0,667;24;Korrekt;10
SA7;H;M Flat;12;U35;22;8000;1;4;0,50;1,00;1,000;0,833;9;Korrekt;7
SA7;N;M Sphere;13;U22;20;8000;1;1;1,00;1,00;1,000;1,000;39;Korrekt;8
SA7;N;M Flat;14;U35;23;15000;1;1;0,50;1,00;1,000;0,833;11;Korrekt;10
SA7;N;M Flat;15;Ü35;59;30000;1;1;1,00;1,00;1,000;1,000;4;zu weit rechts;9
SA7;N;HMD;16;U22;19;15000;1;1;0,50;1,00;1,000;0,833;9;Korrekt;9
SA7;H;M Flat;17;U35;27;8000;1;3;0,50;1,00;1,000;0,833;14;Korrekt;7
SA7;N;HMD;18;U22;21;3000;1;1;0,50;1,00;1,000;0,833;34;Korrekt;7
SA7;N;M Flat;19;U22;21;3000;1;1;1,00;1,00;0,000;0,667;34;Korrekt;7
SA7;N;M Flat;20;U22;19;15000;1;2;0,50;1,00;1,000;0,833;24;Korrekt;9
SA7;H;M Sphere;21;U22;21;15000;1;3;1,00;1,00;1,000;1,000;4;Korrekt;1
SA7;H;M Sphere;22;U35;28;8000;1;4;0,50;1,00;1,000;0,833;-6;zu weit rechts;5
SA7;N;M Sphere;23;U35;22;3000;1;1;0,50;1,00;1,000;0,833;-1;Korrekt;10
SA7;N;HMD;24;U35;26;8000;1;1;0,50;1,00;1,000;0,833;-1;Korrekt;5
SA7;N;HMD;25;Ü35;50;15000;1;2;0,50;1,00;1,000;0,833;24;Korrekt;6
SA7;H;HMD;26;U35;24;3000;1;3;0,50;1,00;1,000;0,833;-3;Korrekt;3
SA7;N;M Sphere;27;U22;19;3000;1;1;0,50;1,00;1,000;0,833;29;Korrekt;7
SA7;N;HMD;28;U35;24;3000;1;4;0,50;1,00;0,000;0,500;24;Korrekt;7
SA7;N;M Sphere;29;U35;22;3000;1;2;1,00;1,00;1,000;1,000;34;Korrekt;8
SA8;N;HMD;1;U35;23;15000;1;1;0,00;0,00;0,000;0,000;1;Korrekt;9
SA8;N;HMD;2;U22;19;3000;1;3;0,00;1,00;0,000;0,333;3;zu weit links;7
SA8;H;M Sphere;3;U22;18;8000;1;3;1,00;0,00;1,000;0,667;1;zu weit links;6
SA8;N;M Flat;4;U35;23;3000;1;1;1,00;0,00;1,000;0,667;1;Korrekt;6
SA8;N;M Flat;5;U22;19;8000;1;3;1,00;0,00;1,000;0,667;5;Korrekt;8
SA8;H;M Flat;6;U35;32;3000;1;3;1,00;1,00;1,000;1,000;11;zu weit links;4
SA8;N;HMD;7;U35;22;8000;1;1;1,00;1,00;0,000;0,667;3;Korrekt;10
SA8;N;M Sphere;8;U35;22;3000;1;1;1,00;1,00;1,000;1,000;1;Korrekt;7
SA8;N;HMD;9;Ü35;53;30000;1;3;1,00;0,00;1,000;0,667;6;zu weit rechts;9
SA8;N;M Flat;10;Ü35;49;15000;1;1;0,00;0,00;0,000;0,000;6;Korrekt;8
SA8;N;M Sphere;11;Ü35;54;8000;1;3;1,00;0,00;1,000;0,667;-4;Korrekt;7
SA8;N;M Flat;12;U35;22;8000;1;3;1,00;1,00;1,000;1,000;-4;Korrekt;7
SA8;H;M Sphere;13;U22;20;8000;1;3;1,00;1,00;1,000;1,000;3;Korrekt;9
SA8;H;M Flat;14;U35;23;15000;1;4;1,00;1,00;0,000;0,667;3;Korrekt;9
SA8;H;M Flat;15;Ü35;59;30000;1;4;1,00;0,00;0,000;0,333;5;zu weit links;7
SA8;H;HMD;16;U22;19;15000;1;4;1,00;1,00;1,000;1,000;6;Korrekt;8
SA8;N;M Flat;17;U35;27;8000;1;1;1,00;0,00;0,000;0,333;11;Korrekt;9
SA8;H;HMD;18;U22;21;3000;1;4;1,00;1,00;1,000;1,000;3;Korrekt;5
SA8;H;M Flat;19;U22;21;3000;1;2;0,00;0,00;0,000;0,000;8;zu weit links;8
SA8;H;M Flat;20;U22;19;15000;1;1;1,00;1,00;1,000;1,000;1;Korrekt;8
SA8;N;M Sphere;21;U22;21;15000;1;1;1,00;0,00;1,000;0,667;3;Korrekt;1
SA8;N;M Sphere;22;U35;28;8000;1;3;0,00;1,00;0,000;0,333;3;zu weit links;10
SA8;H;M Sphere;23;U35;22;3000;1;4;0,00;0,00;0,000;0,000;6;Korrekt;9
SA8;H;HMD;24;U35;26;8000;1;2;0,00;1,00;0,000;0,333;3;Korrekt;5
SA8;H;HMD;25;Ü35;50;15000;1;1;1,00;0,00;1,000;0,667;-4;zu weit links;7
SA8;N;HMD;26;U35;24;3000;1;1;0,00;0,00;0,000;0,000;-4;Korrekt;8
SA8;H;M Sphere;27;U22;19;3000;1;3;1,00;0,00;1,000;0,667;3;Korrekt;5
SA8;H;HMD;28;U35;24;3000;1;1;1,00;0,00;1,000;0,667;1;Korrekt;6
SA8;H;M Sphere;29;U35;22;3000;1;1;1,00;0,00;0,000;0,333;1;zu weit links;8
SA8;N;M Sphere;30;U22;21;15000;1;1;1,00;0,00;1,000;0,667;1;Korrekt;4
SA9;H;HMD;1;U35;23;15000;1;1;0,00;0,00;0,000;0,000;2;Korrekt;9
SA9;H;HMD;2;U22;19;3000;1;2;1,00;0,00;1,000;0,667;-3;zu weit links;7
SA9;N;M Sphere;3;U22;18;8000;1;2;1,00;0,00;1,000;0,667;2;Korrekt;6
SA9;H;M Flat;4;U35;23;3000;1;1;1,00;1,00;0,000;0,667;2;Korrekt;8
SA9;H;M Flat;5;U22;19;8000;1;2;1,00;0,00;0,000;0,333;0;Korrekt;7
SA9;N;M Flat;6;U35;32;3000;1;2;1,00;1,00;0,000;0,667;2;Korrekt;7
SA9;H;HMD;7;U35;22;8000;1;1;1,00;0,00;0,000;0,333;-6;Korrekt;8
SA9;H;M Sphere;8;U35;22;3000;1;1;1,00;1,00;1,000;1,000;-8;Korrekt;7
SA9;H;HMD;9;Ü35;53;30000;1;4;1,00;1,00;1,000;1,000;-1;Korrekt;10
SA9;H;M Flat;10;Ü35;49;15000;1;1;1,00;0,00;1,000;0,667;-5;Korrekt;6
SA9;H;M Sphere;11;Ü35;54;8000;1;2;1,00;1,00;0,000;0,667;-8;zu weit links;8
SA9;H;M Flat;12;U35;22;8000;1;4;1,00;0,00;1,000;0,667;-8;Korrekt;9
SA9;N;M Sphere;13;U22;20;8000;1;2;1,00;0,00;1,000;0,667;2;Korrekt;6
SA9;N;M Flat;14;U35;23;15000;1;1;1,00;1,00;0,000;0,667;-4;zu weit links;8
SA9;N;M Flat;15;Ü35;59;30000;1;1;1,00;0,00;0,000;0,333;-3;Korrekt;9
SA9;N;HMD;16;U22;19;15000;1;1;1,00;0,00;0,000;0,333;2;Korrekt;10
SA9;H;M Flat;17;U35;27;8000;1;3;1,00;0,00;1,000;0,667;12;Korrekt;9
SA9;N;HMD;18;U22;21;3000;1;1;1,00;1,00;1,000;1,000;2;Korrekt;9
SA9;N;M Flat;19;U22;21;3000;1;4;1,00;0,00;1,000;0,667;2;zu weit links;6
SA9;N;M Flat;20;U22;19;15000;1;4;1,00;0,00;0,000;0,333;-1;Korrekt;9
SA9;H;M Sphere;21;U22;21;15000;1;1;1,00;0,00;1,000;0,667;-2;Korrekt;1
SA9;H;M Sphere;22;U35;28;8000;1;4;1,00;0,00;0,000;0,333;-2;Korrekt;8
SA9;N;M Sphere;23;U35;22;3000;1;1;0,00;1,00;0,000;0,333;2;Korrekt;8
SA9;N;HMD;24;U35;26;8000;1;4;1,00;0,00;1,000;0,667;2;zu weit links;8
SA9;N;HMD;25;Ü35;50;15000;1;4;1,00;1,00;0,500;0,833;2;zu weit links;7
SA9;H;HMD;26;U35;24;3000;1;3;1,00;1,00;1,000;1,000;2;zu weit links;6
SA9;N;M Sphere;27;U22;19;3000;1;2;1,00;0,00;0,000;0,333;-3;Korrekt;6
SA9;N;HMD;28;U35;24;3000;1;1;1,00;0,00;0,000;0,333;-3;Korrekt;7
SA9;N;M Sphere;29;U35;22;3000;1;4;1,00;0,00;0,000;0,333;7;zu weit links;8
;;;;;;;;;0,702054795;0,794520548;0,424657534;0,640410959;4,97260274;#DIV/0!;6,246575342